cardNumber	month	year	owner	CVC
4444444444444441	1	х+1	GTYUTVNHBGJN JUHBUJUI	123
4444444444444441	y+z-1	х	IA T	000
4444444444444441	01	х+1	GTYUTVNHBGJN JUHBUJUI	000
4444444444444441	1	х+1	TO   TE	000
4444444444444441	01	х+1	kolya rik	123
4444444444444441	1	х+1	IA T	123
4444444444444441	y+z-1	х+5	Ivan Ivanov	123
4444444444444441	1	х+1	kolya rik	000
4444444444444441	y+z	х	kolya rik	123
4444444444444441	y	х	Ivan Ivanov	000
4444444444444441	y+z	х+5	TO   TE	000
4444444444444441	01	х+1	IA T	123
4444444444444441	y+z	х+5	GTYUTVNHBGJN JUHBUJUI	000
4444444444444441	y+z	х+1	Ivan Ivanov	123
4444444444444441	1	х+1	GTYUTVNHBGJNM JUHBUJUI	123
4444444444444441	01	х+1	Ivan Ivanov	123
4444444444444441	y+z-1	х+1	GTYUTVNHBGJN JUHBUJUI	000
4444444444444441	01	х+1	TO   TE	123
4444444444444441	y	х+5	kolya rik	123
4444444444444441	y	х+1	TO   TE	000
4444444444444441	01	х+1	GTYUTVNHBGJNM JUHBUJUI	000
4444444444444441	y+z-1	х	GTYUTVNHBGJNM JUHBUJUI	000
4444444444444441	y+z	х+5	IA T	000
4444444444444441	y	х	IA T	123
4444444444444441	y+z-1	х	kolya rik	123
4444444444444441	y+z	х+5	GTYUTVNHBGJNM JUHBUJUI	123
4444444444444441	y	х	GTYUTVNHBGJN JUHBUJUI	123
4444444444444441	1	х+1	Ivan Ivanov	123
4444444444444441	y+z-1	х	TO   TE	000
4444444444444441	y	х	GTYUTVNHBGJNM JUHBUJUI	123
